Code,States,Confirmed,Deaths,Recovered,Population,CasePop
AL,Alabama,4500,154,0,4903185,0.09
AK,Alaska,309,9,128,731545,0.04
AZ,Arizona,4507,169,0,7278717,0.06
AR,Arkansas,1695,37,593,3017825,0.06
CA,California,27528,985,810,39512223,0.07
CO,Colorado,9047,391,0,5758736,0.16
CT,Connecticut,16809,1036,0,3565287,0.47
DE,Delaware,2323,61,423,973764,0.24
FL,Florida,25269,740,0,21477737,0.12
GA,Georgia,17669,673,0,10617423,0.17
HI,Hawaii,553,9,390,1415872,0.04
ID,Idaho,1655,43,453,1787065,0.09
IL,Illinois,27575,985,810,12671821,0.22
IN,Indiana,10154,519,0,6732219,0.15
IA,Iowa,2513,74,1095,3155070,0.08
KS,Kansas,1790,86,0,2913314,0.06
KY,Kentucky,2106,104,629,4467673,0.05
LA,Louisiana,21518,1013,0,4648794,0.46
ME,Maine,633,19,266,1344212,0.05
MD,Maryland,8225,235,456,6045680,0.14
MA,Massachusetts,34402,1404,5402,6949503,0.50
MI,Michigan,30023,2227,433,9986857,0.30
MN,Minnesota,2071,111,1066,5639632,0.04
MS,Mississippi,3087,111,0,2976149,0.10
MO,Missouri,4686,133,0,6137428,0.08
MT,Montana,399,7,197,1068778,0.04
NE,Nebraska,871,18,0,1934408,0.05
NV,Nevada,3626,151,0,3080156,0.12
NH,New Hampshire,1020,23,239,1359711,0.08
NJ,New Jersey,78467,3840,802,8882190,0.88
NM,New Mexico,1345,31,0,2096829,0.06
NY,New York,222284,14636,17089,19453561,1.14
NC,North Carolina,5024,108,0,10488084,0.05
ND,North Dakota,341,9,138,762062,0.04
OH,Ohio,6518,248,0,11689100,0.06
OK,Oklahoma,2184,108,0,3956971,0.06
OR,Oregon,1633,55,0,4217737,0.04
PA,Pennsylvania,29441,756,0,12801989,0.23
RI,Rhode Island,4177,118,0,1059361,0.39
SC,South Carolina,3553,97,0,5148714,0.07
SD,South Dakota,988,6,261,884659,0.11
TN,Tennessee,6262,141,2786,6833174,0.09
TX,Texas,18260,453,4806,28995881,0.06
UT,Utah,2412,19,0,3205958,0.08
VT,Vermont,679,24,0,623989,0.11
VA,Virginia,5274,141,0,8535519,0.06
WA,Washington,10224,491,0,7614893,0.13
WV,West Virginia,611,8,57,1792147,0.03
WI,Wisconsin,3555,170,0,5822434,0.06
WY,Wyoming,287,2,164,578759,0.05