Code,States,Population,March1,March2,March3,March4,April1,April2,April3,April4,May1
AL,Alabama,4903185,0,0,11,157,1100,2300,4100,5600,7300
AK,Alaska,731545,0,0,1,18,132,226,293,335,364
AZ,Arizona,7278717,1,4,12,152,1500,3000,4000,5500,8000
AR,Arkansas,3017825,0,0,3,165,584,1000,1600,2300,3300
CA,California,39512223,12,95,373,1600,9400,18900,26700,37300,52000
CO,Colorado,5758736,0,7,99,591,3000,5700,8000,10900,15800
CT,Connecticut,3565287,0,0,24,327,3600,7800,14800,22500,28800
DE,Delaware,973764,0,0,6,56,368,1100,2000,3200,4900
FL,Florida,21477737,0,10,100,1000,7000,15500,22500,28300,34700
GA,Georgia,10617423,0,5,99,621,4600,9900,15000,21200,27500
HI,Hawaii,1415872,0,1,6,53,224,410,524,592,619
ID,Idaho,1787065,0,0,4,42,566,1200,1500,1800,2000
IL,Illinois,12671821,3,7,66,1000,7000,15100,24600,35100,56100
IN,Indiana,6732219,0,2,20,204,2600,5900,15900,12400,18600
IA,Iowa,3155070,0,0,18,90,547,1100,2000,3700,7900
KS,Kansas,2913314,0,1,8,65,485,1000,1500,2300,4600
KY,Kentucky,4467673,0,1,18,103,632,1100,2200,3400,4900
LA,Louisiana,4648794,0,0,87,837,6400,17000,22000,25300,28700
ME,Maine,1344212,0,0,2,89,303,537,770,907,1100
MD,Maryland,6045680,0,5,24,244,2000,5500,10000,14800,23500
MA,Massachusetts,6949503,1,22,138,640,7700,16800,29900,42900,64300
MI,Michigan,9986857,0,0,32,1000,9300,20300,27600,33300,40700
MN,Minnesota,5639632,0,1,21,167,689,1200,1800,2700,5700
MS,Mississippi,2976149,0,0,6,207,1100,2000,3400,4900,7200
MO,Missouri,6137428,0,1,5,100,1600,3200,4800,6300,8100
MT,Montana,1068778,0,0,6,34,208,332,404,439,453
NE,Nebraska,1934408,0,1,17,51,210,519,901,1800,5000
NV,Nevada,3080156,0,4,20,190,1300,2300,3200,4100,5200
NH,New Hampshire,1359711,0,4,7,73,357,747,1100,1600,2300
NJ,New Jersey,8882190,0,5,72,1900,22300,47400,71000,95900,121200
NM,New Mexico,2096829,0,0,13,57,340,902,1500,2200,3500
NY,New York,19453561,0,106,615,15800,83900,151100,207500,254400,303000
NC,North Carolina,10488084,0,2,32,305,1700,3500,5300,7500,11100
ND,North Dakota,762062,0,0,1,28,142,251,365,679,1100
OH,Ohio,11689100,0,0,30,356,2500,5100,7800,14100,18700
OK,Oklahoma,3956971,0,1,4,67,721,1500,2300,2900,3700
OR,Oregon,4217737,1,14,36,161,736,1200,1700,2100,2600
PA,Pennsylvania,12801989,0,6,47,509,6000,16600,26800,36100,49600
RI,Rhode Island,1059361,1,3,20,83,566,1400,3300,5800,9000
SC,South Carolina,5148714,0,2,19,196,1300,2400,3700,4800,6300
SD,South Dakota,884659,0,0,8,21,129,393,1200,1900,2500
TN,Tennessee,6833174,0,3,32,393,2900,4400,5800,7400,11900
TX,Texas,28995881,0,11,63,643,4400,9800,15900,21300,29700
UT,Utah,3205958,0,1,18,162,888,1900,2500,3200,4500
VT,Vermont,623989,0,1,5,52,321,605,759,823,879
VA,Virginia,8535519,0,2,37,220,1500,3600,6500,10300,16900
WA,Washington,7614893,11,122,603,2000,5600,9300,10900,12100,14600
WV,West Virginia,1792147,0,0,0,16,191,483,702,939,1200
WI,Wisconsin,5822434,0,0,28,381,1600,2700,3700,4800,7300
WY,Wyoming,578759,0,0,2,26,130,221,287,447,566