Date,Cumulative
3/1/2020,1
3/2/2020,1
3/3/2020,1
3/4/2020,2
3/5/2020,2
3/6/2020,2
3/7/2020,3
3/8/2020,7
3/9/2020,7
3/10/2020,12
3/11/2020,22
3/12/2020,37
3/13/2020,92
3/14/2020,100
3/15/2020,115
3/16/2020,216
3/17/2020,324
3/18/2020,475
3/19/2020,637
3/20/2020,801
3/21/2020,876
3/22/2020,945
3/23/2020,1179
3/24/2020,1349
3/25/2020,1547
3/26/2020,1741
3/27/2020,1910
3/28/2020,2008
3/29/2020,2083
3/30/2020,2292
3/31/2020,2504
4/1/2020,2739
4/2/2020,2961
4/3/2020,3165
4/4/2020,3276
4/5/2020,3362
4/6/2020,3754
4/7/2020,4007
4/8/2020,4274
4/9/2020,4586
4/10/2020,4886
4/11/2020,5029
4/12/2020,5136
4/13/2020,5404
4/14/2020,5672
4/15/2020,6009
4/16/2020,6343
4/17/2020,6425
4/18/2020,6448